BH10_FDSW220017130-1r	BH12_FDSW220017132-1r	BH14_FDSW220017134-1r	BH15_FDSW220017135-1r	BH2_FDSW220017122-1r	BH4_FDSW220017124-1r	BH6_FDSW220017126-1r	BH8_FDSW220017128-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DY10_FDME210438608-1r	DY11_FDME210438609-1r	DY13_FDME210438611-1b	DY15_FDME210438613-1r	DY2_FDME210438600-1b	DY3_FDME210438601-1r	DY6_FDME210438604-1r	DY7_FDME210438605-1r	LYG11_FDME210455392-2r	LYG13_FDME210455394-1a	LYG15_FDME210455396-1a	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r	ST10_L1	ST12_L1	ST13_L1	ST15_L1	ST1_FDME220007465-1r	ST3_L1	ST7_FDME220007471-1r	ST9_L1	SY11_FDME210455407-1r	SY12_FDME210455408-1r	SY13_FDME210455409-2a	SY15_FDME210455411-2a	SY1_FDME210455397-2a	SY3_FDME210455399-2a	SY7_FDME210455403-2a	SY9_FDME210455405-2a	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	XM10_FDME220007444-1r	XM12_FDME220007446-1r	XM14_FDME220007448-1r	XM15_FDME220007449-1r	XM2_FDME220007436-1r	XM4_FDME220007438-1r	XM6_FDME220007440-1r	XM8_FDME220007442-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	ZH11_FDSW220008794-2r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r	ZH1_FDSW220008784-1r	ZH3_FDSW220008786-1r	ZH5_FDSW220008788-1r	ZH7_FDSW220008790-1r	ZH9_FDSW220008792-2r
K00001	2	0	1	4	1	3	3	2	1	2	1	0	3	0	1	1	10	25	7	7	19	2	9	10	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	4	0	0	0	2	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	5	0	1	3	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
K00002	0	0	0	1	0	0	0	0	0	1	4	0	6	4	0	2	1	0	0	2	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00003	6	2	5	4	1	1	0	0	7	4	4	6	4	11	10	3	4	0	2	5	4	9	3	5	18	10	9	20	25	14	23	10	4	4	6	2	5	4	3	7	12	7	17	13	5	5	8	5	4	8	8	7	11	16	11	25	6	4	8	1	8	3	5	8	9	6	12	7	13	5	6	9	12	5	7	8	15	8	4	4	6	4	4	9	2	5	8	0	13	17	19	18	18	17	23	12
K00004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	5	2	11	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K00005	5	0	0	1	1	0	0	2	0	0	1	3	0	1	0	0	7	3	2	6	4	0	4	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	5	0	1	0	0	0	2	3	1	1	2	2	1	1	5	1	3	0	2	0	0	0	1	0	0	0	0	3	1	1	6	3	3	3	4
K00006	0	0	4	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K00008	15	5	15	8	24	3	10	9	10	5	8	4	7	8	10	3	13	12	13	10	21	6	7	20	3	0	0	8	6	4	12	8	12	12	20	9	11	4	15	10	5	4	2	1	9	4	8	5	35	29	24	20	10	5	7	17	3	3	14	4	17	8	13	5	8	16	9	10	13	12	17	20	23	8	33	8	31	27	20	12	14	8	15	17	15	24	12	12	22	24	15	20	21	28	11	15
K00009	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0
K00010	0	0	0	0	0	0	1	0	5	3	1	0	4	0	1	2	3	2	1	0	1	0	3	6	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	2	1	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	4	1	1	4	4	0	1	0	0	0	0	2	1	0	1	4	0	3	1	1	1	0	0	0	0	1	0	0	1	1
K00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
