#random sampling: 1000																															
Gene	JS_YC_bin_221	SD_DY_bin_343	SD_DY_bin_156	JS_YC_bin_164	JS_LYG_bin_42	SD_QD_bin_87	HN_SY_bin_61	ZJ_NB_bin_117	GD_ZH_bin_112	JS_LYG_bin_20	SD_DY_bin_7	JS_LYG_bin_19	ZJ_WZ_bin_184	GD_ZH_bin_260	SD_DY_bin_417	GX_BH_bin_82	SD_DY_bin_227	GD_ZH_bin_224	JS_LYG_bin_103	GD_ST_bin_83	ZJ_NB_bin_158	GX_BH_bin_20	ZJ_NB_bin_115	SD_DY_bin_76	ZJ_WZ_bin_243	SD_DY_bin_75	ZJ_NB_bin_129	JS_LYG_bin_132	LN_DD_bin_95	SD_DY_bin_480	SD_QD_bin_67
acdA	0	0	0	0	0	7	2	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	7	1	0	0	13	4	3	0	0
acdB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ackA	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1
acs	2	1	4	2	1	5	0	2	0	8	2	4	2	3	2	5	1	3	2	1	0	2	4	0	2	3	3	3	4	2	2
acsC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acsD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
apgM	1	1	1	1	2	0	0	2	0	1	1	3	1	1	1	0	0	0	0	1	3	1	0	0	3	1	0	1	0	1	0
cdhA	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	0	2
cdhB	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0
cdhC	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0
cdhD	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	1	0	0
cdhE	0	0	0	0	1	0	2	1	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	3
cooF	0	0	0	0	1	1	1	2	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1
cooS	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3
