#random sampling: 1000
Gene	JS_LYG_bin_20	SD_DY_bin_417	SD_DY_bin_76	HN_SY_bin_61	ZJ_NB_bin_158	SD_DY_bin_75	JS_LYG_bin_42	SD_DY_bin_480	JS_LYG_bin_103	JS_LYG_bin_132	ZJ_NB_bin_115	GD_ST_bin_83	JS_YC_bin_221	SD_QD_bin_87	SD_DY_bin_227	JS_YC_bin_164	ZJ_NB_bin_129	GX_BH_bin_82	GX_BH_bin_20	ZJ_WZ_bin_184	ZJ_WZ_bin_243	GD_ZH_bin_112	GD_ZH_bin_224	ZJ_NB_bin_117	SD_DY_bin_7	SD_QD_bin_67	SD_DY_bin_343	GD_ZH_bin_260	SD_DY_bin_156	LN_DD_bin_95	JS_LYG_bin_19
NR	0	0	0	0	1	0	2	1	0	1	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0
amoA_A	0	0	0	0	0	1	0	2	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
amoB_A	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
amoC_A	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
ansB	1	1	1	1	0	1	0	1	1	0	2	0	1	2	0	1	1	1	2	1	0	1	0	0	1	1	1	1	0	1	1
asnB	0	3	1	0	3	1	2	3	2	0	0	3	3	2	1	3	1	1	2	3	3	1	3	1	0	0	2	2	2	1	4
gdh_K00260	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gdh_K00261	0	2	0	0	1	2	0	1	1	1	1	2	1	2	1	1	1	1	3	1	0	1	0	1	1	2	1	2	1	1	1
gdh_K00262	0	0	0	0	0	1	1	0	0	2	1	0	0	2	1	2	1	1	0	1	2	0	0	1	0	0	1	1	0	0	1
glnA	2	2	0	1	1	2	1	3	0	4	3	3	3	3	3	3	3	1	4	3	2	1	1	3	2	2	1	2	0	3	2
