#random sampling: 1000
Gene	GX_BH_bin_82	SD_DY_bin_7	JS_YC_bin_221	GD_ZH_bin_224	JS_LYG_bin_132	SD_QD_bin_67	SD_DY_bin_480	SD_DY_bin_156	SD_QD_bin_87	SD_DY_bin_227	SD_DY_bin_75	ZJ_NB_bin_158	GD_ZH_bin_260	SD_DY_bin_343	ZJ_WZ_bin_243	JS_LYG_bin_103	JS_LYG_bin_19	ZJ_WZ_bin_184	ZJ_NB_bin_115	SD_DY_bin_76	SD_DY_bin_417	HN_SY_bin_61	LN_DD_bin_95	JS_LYG_bin_42	GD_ST_bin_83	GX_BH_bin_20	JS_LYG_bin_20	ZJ_NB_bin_129	JS_YC_bin_164	GD_ZH_bin_112	ZJ_NB_bin_117
acuI	4	1	2	0	1	0	2	1	4	0	0	0	1	2	0	0	0	1	6	0	2	1	2	0	1	1	0	8	0	1	1
aprA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0
asrA	0	0	1	0	3	2	2	2	0	1	2	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1
asrB	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
asrC	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1
betA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	2	0	0	0	0	1	0	0	0
betB	5	0	2	0	1	1	1	0	0	4	1	0	2	1	0	0	1	1	7	0	0	1	2	0	3	1	1	5	3	2	1
betC	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
comA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
comB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1
comC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
comD	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
comE	2	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0
cuyA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
cysA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
cysC	7	2	3	2	1	3	2	2	2	3	0	3	4	1	4	1	1	4	3	1	2	0	2	3	2	2	2	2	4	1	1
cysD	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysE	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0
cysH	1	1	0	0	0	2	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	2
cysI	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
cysJ	5	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	18	0	0	1	1	1	0	0	0	5	0	0	1
cysK	6	1	1	2	6	1	2	4	2	0	2	1	2	0	2	0	0	1	0	1	1	0	4	0	0	0	2	5	1	0	3
cysM	0	2	1	0	0	1	2	0	0	2	2	0	2	1	1	0	1	0	1	1	1	0	1	1	3	1	0	2	2	1	0
cysN	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysN_cysC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
cysQ	0	0	1	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
cysU	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	0
dddP	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	2	0	1	0	0	1	1	0	0	1
dddW	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
dmdA	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	2
dmdB	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	1
dmdC	5	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	1	1	0	0	0	0	9	0	0	1
