	Latitude	group
FDMP22H003451_1a_L1_CXD_1412	36.45812023	Qingdao
FDMP22H003451_1a_L1_CXD_1413	36.45812023	Qingdao
FDMP22H003451_1a_L1_CXD_1414	36.45812023	Qingdao
FDMP22H003451_1a_L1_CXD_1415	36.45812023	Qingdao
FDMP22H003451_1a_L1_CXD_1604	36.45812023	Qingdao
FDMP22H003451_1a_L1_CXD_1608	36.45812023	Qingdao
FDMP22H003451_1a_L1_CXD_1609	36.45812023	Qingdao
FDMP22H003451_1a_L1_CXD_1610	36.45812023	Qingdao
FDMP22H003451_1a_L1_CXD_1611	36.45812023	Qingdao
FDMP22H003451_1a_L1_CXD_1612	36.45812023	Qingdao
FDMP22H003451_1a_L1_CXD_1613	36.45812023	Qingdao
FDMP22H003451_1a_L1_CXD_1614	36.45812023	Qingdao
FDMP22H003645_1a_L1_DD1	39.81195629	Dandong
FDMP22H003645_1a_L1_DD10	39.81195629	Dandong
FDMP22H003645_1a_L1_DD11	39.81195629	Dandong
FDMP22H003645_1a_L1_DD13	39.81195629	Dandong
FDMP22H003645_1a_L1_DD14	39.81195629	Dandong
FDMP22H003645_1a_L1_DD15	39.81195629	Dandong
FDMP22H003645_1a_L1_DD2	39.81195629	Dandong
FDMP22H003645_1a_L1_DD3	39.81195629	Dandong
FDMP22H003645_1a_L1_DD4	39.81195629	Dandong
FDMP22H003645_1a_L1_DD6	39.81195629	Dandong
FDMP22H003645_1a_L1_DD7	39.81195629	Dandong
FDMP22H003645_1a_L1_DD9	39.81195629	Dandong
FDMP22H003645_1a_L1_DY1	37.79432153	Dongying
FDMP22H003645_1a_L1_DY10	37.79432153	Dongying
FDMP22H003645_1a_L1_DY11	37.79432153	Dongying
FDMP22H003645_1a_L1_DY13	37.79432153	Dongying
FDMP22H003645_1a_L1_DY14	37.79432153	Dongying
FDMP22H003645_1a_L1_DY15	37.79432153	Dongying
FDMP22H003645_1a_L1_DY2	37.79432153	Dongying
FDMP22H003645_1a_L1_DY3	37.79432153	Dongying
FDMP22H003645_1a_L1_DY4	37.79432153	Dongying
FDMP22H003645_1a_L1_DY6	37.79432153	Dongying
FDMP22H003645_1a_L1_DY7	37.79432153	Dongying
FDMP22H003645_1a_L1_DY9	37.79432153	Dongying
FDMP22H003645_1a_L1_ZH1	22.43845252	Zhuhai
FDMP22H003645_1a_L1_ZH11	22.43845252	Zhuhai
FDMP22H003645_1a_L1_ZH12	22.43845252	Zhuhai
FDMP22H003645_1a_L1_ZH13	22.43845252	Zhuhai
FDMP22H003645_1a_L1_ZH14	22.43845252	Zhuhai
FDMP22H003645_1a_L1_ZH15	22.43845252	Zhuhai
FDMP22H003645_1a_L1_ZH2	22.43845252	Zhuhai
FDMP22H003645_1a_L1_ZH3	22.43845252	Zhuhai
FDMP22H003645_1a_L1_ZH4	22.43845252	Zhuhai
FDMP22H003645_1a_L1_ZH5	22.43845252	Zhuhai
FDMP22H003645_1a_L1_ZH7	22.43845252	Zhuhai
