	value	Location
BH10_FDSW220017130-1r	21.55293944	Beihai
BH12_FDSW220017132-1r	21.55293944	Beihai
BH14_FDSW220017134-1r	21.55293944	Beihai
BH15_FDSW220017135-1r	21.55293944	Beihai
BH2_FDSW220017122-1r	21.55293944	Beihai
BH4_FDSW220017124-1r	21.55293944	Beihai
BH6_FDSW220017126-1r	21.55293944	Beihai
BH8_FDSW220017128-1r	21.55293944	Beihai
CXD_1412_FDSW210423229-1r	36.45812023	Qingdao
CXD_1414_FDSW210423231-1r	36.45812023	Qingdao
CXD_1604_FDSW210423236-1r	36.45812023	Qingdao
CXD_1609_FDSW210423241-1r	36.45812023	Qingdao
CXD_1610_FDSW210423242-1r	36.45812023	Qingdao
CXD_1611_FDSW210423243-1r	36.45812023	Qingdao
CXD_1612_FDSW210423244-1r	36.45812023	Qingdao
CXD_1613_FDSW210423245-1r	36.45812023	Qingdao
DD1_FDSW220008388-1r	39.81195629	Dandong
DD11_FDSW220008398-1r	39.81195629	Dandong
DD13_FDSW220008400-2r	39.81195629	Dandong
DD15_FDSW220008402-2r	39.81195629	Dandong
DD3_FDSW220008390-2r	39.81195629	Dandong
DD5_FDSW220008392-2r	39.81195629	Dandong
DD7_FDSW220008394-1r	39.81195629	Dandong
DD9_FDSW220008396-1r	39.81195629	Dandong
DY10_FDME210438608-1r	39.81195629	Dongying
DY11_FDME210438609-1r	39.81195629	Dongying
DY13_FDME210438611-1b	39.81195629	Dongying
DY15_FDME210438613-1r	39.81195629	Dongying
DY2_FDME210438600-1b	39.81195629	Dongying
DY3_FDME210438601-1r	39.81195629	Dongying
DY6_FDME210438604-1r	39.81195629	Dongying
DY7_FDME210438605-1r	39.81195629	Dongying
LYG1_FDME210455382-1r	34.89410646	Lianyungang
LYG11_FDME210455392-2r	34.89410646	Lianyungang
LYG13_FDME210455394-1a	34.89410646	Lianyungang
LYG15_FDME210455396-1a	34.89410646	Lianyungang
LYG3_FDME210455384-1r	34.89410646	Lianyungang
LYG5_FDME210455386-1r	34.89410646	Lianyungang
LYG6_FDME210455387-1r	34.89410646	Lianyungang
LYG7_FDME210455388-1r	34.89410646	Lianyungang
NB1_FDME210455352-1r	29.82061002	Ningbo
NB11_FDME210455362-1b	29.82061002	Ningbo
NB12_FDME210455363-1r	29.82061002	Ningbo
NB15_FDME210455366-1r	29.82061002	Ningbo
NB2_FDME210455353-1r	29.82061002	Ningbo
NB4_FDME210455355-1r	29.82061002	Ningbo
NB6_FDME210455357-1r	29.82061002	Ningbo
NB7_FDME210455358-1r	29.82061002	Ningbo
ST1_FDME220007465-1r	23.32790454	Shantou
ST10_L1	23.32790454	Shantou
ST12_L1	23.32790454	Shantou
ST13_L1	23.32790454	Shantou
ST15_L1	23.32790454	Shantou
ST3_L1	23.32790454	Shantou
ST7_FDME220007471-1r	23.32790454	Shantou
ST9_L1	23.32790454	Shantou
SY1_FDME210455397-2a	23.32790454	Sanya
SY11_FDME210455407-1r	18.27040352	Sanya
SY12_FDME210455408-1r	18.27040352	Sanya
SY13_FDME210455409-2a	18.27040352	Sanya
SY15_FDME210455411-2a	18.27040352	Sanya
SY3_FDME210455399-2a	18.27040352	Sanya
SY7_FDME210455403-2a	18.27040352	Sanya
SY9_FDME210455405-2a	18.27040352	Sanya
WZ1_L1	27.85493975	Wenzhou
WZ10_L1	27.85493975	Wenzhou
WZ11_L1	27.85493975	Wenzhou
WZ14_L1	27.85493975	Wenzhou
WZ15_FDME210455471-1r	27.85493975	Wenzhou
WZ3_L1	27.85493975	Wenzhou
WZ5_L1	27.85493975	Wenzhou
WZ7_FDME210455463-1r	27.85493975	Wenzhou
XM10_FDME220007444-1r	24.55815055	Xiamen
XM12_FDME220007446-1r	24.55815055	Xiamen
XM14_FDME220007448-1r	24.55815055	Xiamen
XM15_FDME220007449-1r	24.55815055	Xiamen
XM2_FDME220007436-1r	24.55815055	Xiamen
XM4_FDME220007438-1r	24.55815055	Xiamen
XM6_FDME220007440-1r	24.55815055	Xiamen
XM8_FDME220007442-1r	24.55815055	Xiamen
YC1_FDME220007405-1r	32.82356196	Yancheng
YC11_FDME220007415-1r	32.82356196	Yancheng
YC13_FDME220007417-1r	32.82356196	Yancheng
YC15_FDME220007419-1r	32.82356196	Yancheng
YC3_FDME220007407-1r	32.82356196	Yancheng
YC5_FDME220007409-1r	32.82356196	Yancheng
YC7_FDME220007411-1a	32.82356196	Yancheng
YC9_FDME220007413-1r	32.82356196	Yancheng
ZH1_FDSW220008784-1r	22.43845252	Zhuhai
ZH11_FDSW220008794-2r	22.43845252	Zhuhai
ZH13_FDSW220008796-2r	22.43845252	Zhuhai
ZH15_FDSW220008798-2r	22.43845252	Zhuhai
ZH3_FDSW220008786-1r	22.43845252	Zhuhai
ZH5_FDSW220008788-1r	22.43845252	Zhuhai
ZH7_FDSW220008790-1r	22.43845252	Zhuhai
ZH9_FDSW220008792-2r	22.43845252	Zhuhai
