Kingdom	Phylum	Class	Order	Family	Genus
ASV1	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV2	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV3	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
ASV4	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV5	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV6	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV7	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV8	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV9	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV10	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV11	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV12	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV13	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV14	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV15	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV16	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV17	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV18	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV19	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV20	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV21	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV22	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV23	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV24	Archaea	NA	NA	NA	NA	NA
ASV25	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV26	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV27	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV28	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV29	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV30	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV31	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV32	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV33	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV34	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV35	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV36	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV37	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV38	Archaea	NA	NA	NA	NA	NA
ASV39	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV40	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV41	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV42	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV43	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV44	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV45	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogranum
ASV46	Archaea	NA	NA	NA	NA	NA
ASV47	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV48	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
ASV49	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV50	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
ASV51	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV52	Archaea	NA	NA	NA	NA	NA
ASV53	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV54	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV55	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
ASV56	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV57	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV58	Archaea	Crenarchaeota	Thermoprotei	Fervidicoccales	Fervidicoccaceae	Fervidicoccus
ASV59	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV60	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV61	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV62	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV63	Archaea	NA	NA	NA	NA	NA
ASV64	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV65	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV66	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV67	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV68	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV69	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV70	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV71	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV72	Archaea	NA	NA	NA	NA	NA
ASV73	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV74	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV75	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV76	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV77	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV78	Archaea	NA	NA	NA	NA	NA
ASV79	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV80	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV81	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV82	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV83	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV84	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV85	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV86	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV87	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV88	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax
ASV89	Archaea	NA	NA	NA	NA	NA
ASV90	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV91	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV92	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV93	Archaea	NA	NA	NA	NA	NA
ASV94	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV95	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV96	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
ASV97	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV98	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV99	Archaea	NA	NA	NA	NA	NA
ASV100	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	NA	NA
ASV101	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV102	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius
ASV103	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV104	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV105	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV106	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV107	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV108	Archaea	NA	NA	NA	NA	NA
ASV109	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV110	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV111	Archaea	NA	NA	NA	NA	NA
ASV112	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Salinigranum
ASV114	Archaea	NA	NA	NA	NA	NA
ASV115	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	NA
ASV116	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV117	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV118	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV119	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV120	Archaea	NA	NA	NA	NA	NA
ASV121	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV123	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV124	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV125	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV126	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV127	Archaea	NA	NA	NA	NA	NA
ASV128	Archaea	NA	NA	NA	NA	NA
ASV129	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV130	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV131	Archaea	NA	NA	NA	NA	NA
ASV132	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV133	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV134	Archaea	NA	NA	NA	NA	NA
ASV135	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV136	Archaea	Crenarchaeota	Thermoprotei	Fervidicoccales	Fervidicoccaceae	Fervidicoccus
ASV137	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV138	Archaea	NA	NA	NA	NA	NA
ASV139	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV140	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV141	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV142	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
ASV143	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV144	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV145	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV146	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV147	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius
ASV148	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV149	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV150	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV151	Archaea	NA	NA	NA	NA	NA
ASV152	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV153	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV154	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV155	Archaea	NA	NA	NA	NA	NA
ASV156	Archaea	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	NA
ASV157	Archaea	NA	NA	NA	NA	NA
ASV158	Archaea	NA	NA	NA	NA	NA
ASV159	Archaea	NA	NA	NA	NA	NA
ASV160	Archaea	NA	NA	NA	NA	NA
ASV161	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV162	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV163	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV164	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV165	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV166	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV167	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides
ASV168	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV169	Archaea	NA	NA	NA	NA	NA
ASV170	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV171	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV172	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV174	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV175	Archaea	NA	NA	NA	NA	NA
ASV176	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV177	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
ASV178	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV179	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV180	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV181	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV182	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus
ASV183	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV184	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV185	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV186	Archaea	NA	NA	NA	NA	NA
ASV188	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV189	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV190	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV191	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV192	Archaea	Euryarchaeota	NA	NA	NA	NA
ASV193	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV194	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV195	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV196	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV197	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV198	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA
ASV199	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV200	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV201	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV202	Archaea	NA	NA	NA	NA	NA
ASV203	Archaea	NA	NA	NA	NA	NA
ASV204	Archaea	NA	NA	NA	NA	NA
ASV205	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV206	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus
ASV207	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV208	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus
ASV209	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
ASV210	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	NA
ASV211	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA
