sample1,sample2,Heterogeneous.Selection,Homogeneous.Selection,Dispersal.Limitation,Homogenizing.Dispersal,Drift.and.Others
FDMP22H003451_1a_L1_CXD_1413,FDMP22H003451_1a_L1_CXD_1412,0,0.391751499,0.041416818,0.430100404,0.136731279
FDMP22H003451_1a_L1_CXD_1414,FDMP22H003451_1a_L1_CXD_1412,0,0.397817599,0.015792776,0.475596151,0.110793474
FDMP22H003451_1a_L1_CXD_1415,FDMP22H003451_1a_L1_CXD_1412,0.000383489,0.366789848,0.024124948,0.015165249,0.593536466
FDMP22H003451_1a_L1_CXD_1604,FDMP22H003451_1a_L1_CXD_1412,0.000801841,0.370520151,0.025937805,0.469878678,0.132861526
FDMP22H003451_1a_L1_CXD_1608,FDMP22H003451_1a_L1_CXD_1412,0.000383489,0.526495607,0.054734347,0.010110166,0.408276391
FDMP22H003451_1a_L1_CXD_1609,FDMP22H003451_1a_L1_CXD_1412,0,0.517675359,0.050864594,0.011365221,0.420094826
FDMP22H003451_1a_L1_CXD_1610,FDMP22H003451_1a_L1_CXD_1412,0.002579835,0.384534932,0.013979919,0.011051457,0.587853856
FDMP22H003451_1a_L1_CXD_1611,FDMP22H003451_1a_L1_CXD_1412,0.000697253,0.396562544,0.010110166,0.008157858,0.58447218
FDMP22H003451_1a_L1_CXD_1612,FDMP22H003451_1a_L1_CXD_1412,0.000383489,0.385232185,0.019732255,0.007251429,0.587400641
FDMP22H003451_1a_L1_CXD_1613,FDMP22H003451_1a_L1_CXD_1412,0.000627528,0.414447079,0.009168875,0.006623902,0.569132617
FDMP22H003451_1a_L1_CXD_1614,FDMP22H003451_1a_L1_CXD_1412,0,0.478001673,0.062822479,0.02217264,0.437003207
FDMP22H003645_1a_L1_DD1,FDMP22H003451_1a_L1_CXD_1412,0.006554177,0.714788732,0.079173058,0.013770743,0.18571329
FDMP22H003645_1a_L1_DD10,FDMP22H003451_1a_L1_CXD_1412,0.005752336,0.612710919,0.224585135,0.006484451,0.150467159
FDMP22H003645_1a_L1_DD11,FDMP22H003451_1a_L1_CXD_1412,0.013735881,0.608701715,0.154406638,0.007216567,0.2159392
FDMP22H003645_1a_L1_DD13,FDMP22H003451_1a_L1_CXD_1412,0.005682611,0.668595733,0.143564356,0.005647748,0.176509552
FDMP22H003645_1a_L1_DD14,FDMP22H003451_1a_L1_CXD_1412,0.019627667,0.609329243,0.195056477,0.016385441,0.159601171
FDMP22H003645_1a_L1_DD15,FDMP22H003451_1a_L1_CXD_1412,0.005508297,0.63265235,0.116964161,0.010702831,0.234172361
FDMP22H003645_1a_L1_DD2,FDMP22H003451_1a_L1_CXD_1412,0.008959699,0.723957607,0.06850509,0.014712035,0.18386557
FDMP22H003645_1a_L1_DD3,FDMP22H003451_1a_L1_CXD_1412,0.008855111,0.627283503,0.135894575,0.012690001,0.215276809
FDMP22H003645_1a_L1_DD4,FDMP22H003451_1a_L1_CXD_1412,0.011400084,0.727548459,0.078440943,0.011923023,0.170687491
FDMP22H003645_1a_L1_DD6,FDMP22H003451_1a_L1_CXD_1412,0.008157858,0.589352949,0.214474969,0.013038628,0.174975596
FDMP22H003645_1a_L1_DD7,FDMP22H003451_1a_L1_CXD_1412,0.020743272,0.614732952,0.131222981,0.00421838,0.229082415
FDMP22H003645_1a_L1_DD9,FDMP22H003451_1a_L1_CXD_1412,0.011365221,0.630386278,0.19509134,0.018198299,0.144958862
FDMP22H003645_1a_L1_DY1,FDMP22H003451_1a_L1_CXD_1412,0.022904755,0.477653047,0.144087296,0.004776182,0.35057872
FDMP22H003645_1a_L1_DY10,FDMP22H003451_1a_L1_CXD_1412,0.087470367,0.13383768,0.22664203,0.012480826,0.539569098
FDMP22H003645_1a_L1_DY11,FDMP22H003451_1a_L1_CXD_1412,0.034130526,0.115918282,0.239087993,0.00554316,0.605320039
FDMP22H003645_1a_L1_DY13,FDMP22H003451_1a_L1_CXD_1412,0.034862641,0.389485427,0.140566169,0.004636731,0.430449031
FDMP22H003645_1a_L1_DY14,FDMP22H003451_1a_L1_CXD_1412,0.103995259,0.406881885,0.155905731,0.011713847,0.321503277
FDMP22H003645_1a_L1_DY15,FDMP22H003451_1a_L1_CXD_1412,0.12473853,0.107830149,0.178671036,0.00620555,0.582554734
FDMP22H003645_1a_L1_DY2,FDMP22H003451_1a_L1_CXD_1412,0.022102915,0.128991772,0.155243341,0.003521127,0.690140845
FDMP22H003645_1a_L1_DY3,FDMP22H003451_1a_L1_CXD_1412,0.010528518,0.601171385,0.115011853,0.008088133,0.265200112
FDMP22H003645_1a_L1_DY4,FDMP22H003451_1a_L1_CXD_1412,0.027680937,0.138578999,0.115395342,0.004706457,0.713638265
FDMP22H003645_1a_L1_DY6,FDMP22H003451_1a_L1_CXD_1412,0.093257565,0.405940594,0.173790266,0.015025798,0.311985776
FDMP22H003645_1a_L1_DY7,FDMP22H003451_1a_L1_CXD_1412,0.0863199,0.200425324,0.162494771,0.013979919,0.536780086
FDMP22H003645_1a_L1_DY9,FDMP22H003451_1a_L1_CXD_1412,0.029249756,0.228942965,0.143146005,0.004462418,0.594198857
FDMP22H003645_1a_L1_ZH1,FDMP22H003451_1a_L1_CXD_1412,0.032875471,0.489262307,0.300132478,0.007495468,0.170234277
FDMP22H003645_1a_L1_ZH11,FDMP22H003451_1a_L1_CXD_1412,0.024508437,0.520080881,0.280330498,0.012201924,0.16287826
FDMP22H003645_1a_L1_ZH12,FDMP22H003451_1a_L1_CXD_1412,0.0031725,0.538976433,0.267187282,0.011051457,0.179612327
FDMP22H003645_1a_L1_ZH13,FDMP22H003451_1a_L1_CXD_1412,0.017396458,0.533991075,0.268825826,0.011818435,0.167968205
FDMP22H003645_1a_L1_ZH14,FDMP22H003451_1a_L1_CXD_1412,0.014398271,0.531515828,0.276495607,0.009412913,0.168177381
FDMP22H003645_1a_L1_ZH15,FDMP22H003451_1a_L1_CXD_1412,0.021614838,0.556547204,0.215730024,0,0.206107935
FDMP22H003645_1a_L1_ZH2,FDMP22H003451_1a_L1_CXD_1412,0.008262446,0.542671873,0.276669921,0.011365221,0.16103054
FDMP22H003645_1a_L1_ZH3,FDMP22H003451_1a_L1_CXD_1412,0.009099149,0.584507042,0.26662948,0.008889974,0.130874355
FDMP22H003645_1a_L1_ZH4,FDMP22H003451_1a_L1_CXD_1412,0.010528518,0.551666434,0.241319202,0.011051457,0.185434389
FDMP22H003645_1a_L1_ZH5,FDMP22H003451_1a_L1_CXD_1412,0.02335797,0.370345837,0.277332311,0.00753033,0.321433552
FDMP22H003645_1a_L1_ZH7,FDMP22H003451_1a_L1_CXD_1412,0.022556129,0.52705341,0.274368986,0.010354204,0.165667271
FDMP22H003645_1a_L1_ZH9,FDMP22H003451_1a_L1_CXD_1412,0.011783573,0.54078929,0.268512062,0.012690001,0.166225073
FDMP22H003646_1a_L1_BH1,FDMP22H003451_1a_L1_CXD_1412,0.010145029,0.813728908,0.033293822,0.00554316,0.137289081
FDMP22H003646_1a_L1_BH10,FDMP22H003451_1a_L1_CXD_1412,0.007321155,0.788418631,0.039952587,0.016699205,0.147608423
FDMP22H003646_1a_L1_BH11,FDMP22H003451_1a_L1_CXD_1412,0.011295496,0.831473992,0.027402036,0.00554316,0.124285316
FDMP22H003646_1a_L1_BH12,FDMP22H003451_1a_L1_CXD_1412,0.003904616,0.852008088,0.031097476,0.008157858,0.104831962
FDMP22H003646_1a_L1_BH13,FDMP22H003451_1a_L1_CXD_1412,0.019836843,0.825128992,0.025902942,0.004845907,0.124285316
FDMP22H003646_1a_L1_BH14,FDMP22H003451_1a_L1_CXD_1412,0.006100962,0.808150886,0.04448473,0.009831265,0.131432157
FDMP22H003646_1a_L1_BH15,FDMP22H003451_1a_L1_CXD_1412,0.008750523,0.246060522,0.133593641,0.008820248,0.602775066
FDMP22H003646_1a_L1_BH2,FDMP22H003451_1a_L1_CXD_1412,0.014014782,0.805745363,0.040754428,0.006135825,0.133349603
FDMP22H003646_1a_L1_BH3,FDMP22H003451_1a_L1_CXD_1412,0.012027611,0.334890531,0.040057175,0.005961512,0.607063171
FDMP22H003646_1a_L1_BH4,FDMP22H003451_1a_L1_CXD_1412,0.009273463,0.350787896,0.034374564,0.005368847,0.600195231
FDMP22H003646_1a_L1_BH6,FDMP22H003451_1a_L1_CXD_1412,0.00672849,0.820283085,0.034444289,0.00502022,0.133523916
FDMP22H003646_1a_L1_BH8,FDMP22H003451_1a_L1_CXD_1412,0.012968903,0.821119788,0.035071817,0.005717473,0.125122019
FDMP22H003646_1a_L1_LYG1,FDMP22H003451_1a_L1_CXD_1412,0.383105564,0.471377772,0.03392135,0.007181704,0.10441361
FDMP22H003646_1a_L1_LYG11,FDMP22H003451_1a_L1_CXD_1412,0.416817738,0.455340957,0.018198299,0.007669781,0.101973225
FDMP22H003646_1a_L1_LYG12,FDMP22H003451_1a_L1_CXD_1412,0.04078929,0.478245712,0.024403849,0.004636731,0.451924418
FDMP22H003646_1a_L1_LYG13,FDMP22H003451_1a_L1_CXD_1412,0.229988844,0.561811463,0.03946451,0.003834891,0.164900293
FDMP22H003646_1a_L1_LYG14,FDMP22H003451_1a_L1_CXD_1412,0.172570074,0.639938642,0.033363548,0.010877144,0.143250593
FDMP22H003646_1a_L1_LYG15,FDMP22H003451_1a_L1_CXD_1412,0.011330358,0.535664482,0.043787477,0.008855111,0.400362571
FDMP22H003646_1a_L1_LYG2,FDMP22H003451_1a_L1_CXD_1412,0.020952447,0.819550969,0.021545112,0.004322968,0.133628504
FDMP22H003646_1a_L1_LYG3,FDMP22H003451_1a_L1_CXD_1412,0.352600753,0.2560661,0.042114071,0.002126621,0.347092456
FDMP22H003646_1a_L1_LYG4,FDMP22H003451_1a_L1_CXD_1412,0.06480965,0.754811044,0.035664482,0.005194534,0.13952029
FDMP22H003646_1a_L1_LYG5,FDMP22H003451_1a_L1_CXD_1412,0.007042254,0.870101799,0.028622228,0.006554177,0.087679543
FDMP22H003646_1a_L1_LYG6,FDMP22H003451_1a_L1_CXD_1412,0.097859434,0.662529633,0.053479292,0.012515688,0.173615953
FDMP22H003646_1a_L1_LYG7,FDMP22H003451_1a_L1_CXD_1412,0.100230093,0.710361177,0.0401269,0.006170687,0.143111142
FDMP22H003646_1a_L1_NB1,FDMP22H003451_1a_L1_CXD_1412,0.029110305,0.744108214,0.05173616,0,0.175045321
FDMP22H003646_1a_L1_NB11,FDMP22H003451_1a_L1_CXD_1412,0.066727095,0.766420304,0.039185609,0.004985358,0.122681634
FDMP22H003646_1a_L1_NB12,FDMP22H003451_1a_L1_CXD_1412,0.006240413,0.448542742,0.0586041,0.000871566,0.48574118
FDMP22H003646_1a_L1_NB14,FDMP22H003451_1a_L1_CXD_1412,0.042950774,0.76913959,0.047831544,3.49E-05,0.14004323
FDMP22H003646_1a_L1_NB15,FDMP22H003451_1a_L1_CXD_1412,0.00791382,0.835099707,0.024752475,6.97E-05,0.132164273
FDMP22H003646_1a_L1_NB2,FDMP22H003451_1a_L1_CXD_1412,0.052538,0.780504811,0.052782039,0.000732115,0.113443034
FDMP22H003646_1a_L1_NB3,FDMP22H003451_1a_L1_CXD_1412,0.055013248,0.391681774,0.054978385,0.003800028,0.494526565
FDMP22H003646_1a_L1_NB4,FDMP22H003451_1a_L1_CXD_1412,0.02785525,0.4567006,0.036919537,0.009622089,0.468902524
FDMP22H003646_1a_L1_NB5,FDMP22H003451_1a_L1_CXD_1412,0.075512481,0.355808116,0.023079068,0.005089946,0.540510389
FDMP22H003646_1a_L1_NB6,FDMP22H003451_1a_L1_CXD_1412,0.012201924,0.427415981,0.038732394,0.005578023,0.516071678
FDMP22H003646_1a_L1_NB7,FDMP22H003451_1a_L1_CXD_1412,0.017361595,0.793857203,0.040301213,0.006100962,0.142379027
FDMP22H003646_1a_L1_NB9,FDMP22H003451_1a_L1_CXD_1412,0.064461024,0.693940873,0.119334821,0.005403709,0.116859573
FDMP22H003646_1a_L1_SY1,FDMP22H003451_1a_L1_CXD_1412,0.029877284,0.604553061,0.173825129,0.001429368,0.190315158
FDMP22H003646_1a_L1_SY11,FDMP22H003451_1a_L1_CXD_1412,0.037372751,0.625087157,0.173720541,0.020255195,0.143564356
FDMP22H003646_1a_L1_SY12,FDMP22H003451_1a_L1_CXD_1412,0.01781481,0.680588481,0.127283503,0.00251011,0.171803096
FDMP22H003646_1a_L1_SY13,FDMP22H003451_1a_L1_CXD_1412,0.019732255,0.654476363,0.159914935,0.010354204,0.155522242
FDMP22H003646_1a_L1_SY14,FDMP22H003451_1a_L1_CXD_1412,0.028761679,0.656916748,0.129479849,0.01108632,0.173755404
FDMP22H003646_1a_L1_SY15,FDMP22H003451_1a_L1_CXD_1412,0.016420304,0.66420304,0.100299819,0.025484591,0.193592247
FDMP22H003646_1a_L1_SY2,FDMP22H003451_1a_L1_CXD_1412,0.034200251,0.333217125,0.084193278,0.005055083,0.543334263
FDMP22H003646_1a_L1_SY3,FDMP22H003451_1a_L1_CXD_1412,0.017222145,0.597371357,0.225665876,0.001080742,0.15865988
FDMP22H003646_1a_L1_SY5,FDMP22H003451_1a_L1_CXD_1412,0.024264398,0.639450565,0.159078232,0.019941431,0.157265374
FDMP22H003646_1a_L1_SY6,FDMP22H003451_1a_L1_CXD_1412,0.019104727,0.599951192,0.168874634,0.004497281,0.207572166
FDMP22H003646_1a_L1_SY7,FDMP22H003451_1a_L1_CXD_1412,0.016350579,0.579765723,0.246130247,0.015025798,0.142727653
FDMP22H003646_1a_L1_SY9,FDMP22H003451_1a_L1_CXD_1412,0.012585413,0.650885511,0.171524195,0.02904058,0.135964301
FDMP22H003647_1a_L1_ST1,FDMP22H003451_1a_L1_CXD_1412,0.011678985,0.764851485,0.053862781,3.49E-05,0.169571887
FDMP22H003647_1a_L1_ST10,FDMP22H003451_1a_L1_CXD_1412,0.052433412,0.359643007,0.037407614,0,0.550515967
FDMP22H003647_1a_L1_ST11,FDMP22H003451_1a_L1_CXD_1412,0.036292009,0.744352252,0.05794171,0,0.161414029
FDMP22H003647_1a_L1_ST12,FDMP22H003451_1a_L1_CXD_1412,0.052224237,0.370241249,0.044205829,0.000174313,0.533154372
FDMP22H003647_1a_L1_ST13,FDMP22H003451_1a_L1_CXD_1412,0.009970715,0.391681774,0.056163715,0.000732115,0.54145168
FDMP22H003647_1a_L1_ST14,FDMP22H003451_1a_L1_CXD_1412,0.062927067,0.673093014,0.075512481,0,0.188467438
FDMP22H003647_1a_L1_ST15,FDMP22H003451_1a_L1_CXD_1412,0.013247804,0.379723888,0.087714405,0,0.519313903
FDMP22H003647_1a_L1_ST2,FDMP22H003451_1a_L1_CXD_1412,0.029145168,0.382722075,0.029807558,0,0.558325199
FDMP22H003647_1a_L1_ST3,FDMP22H003451_1a_L1_CXD_1412,0.014084507,0.778622228,0.042323246,0,0.164970018
FDMP22H003647_1a_L1_ST5,FDMP22H003451_1a_L1_CXD_1412,0.032631432,0.754078929,0.039708548,0,0.173581091
FDMP22H003647_1a_L1_ST7,FDMP22H003451_1a_L1_CXD_1412,0.017466183,0.762655139,0.034862641,3.49E-05,0.184981174
FDMP22H003647_1a_L1_ST9,FDMP22H003451_1a_L1_CXD_1412,0.007600056,0.743062334,0.07087575,0,0.17846186
FDMP22H003647_1a_L1_WZ1,FDMP22H003451_1a_L1_CXD_1412,0.024787338,0.830707014,0.049470088,0.004567006,0.090468554
FDMP22H003647_1a_L1_WZ10,FDMP22H003451_1a_L1_CXD_1412,0.039778274,0.819516107,0.04818017,0.003904616,0.088620834
